,id,Film,winning,winning_year,title,genres,year,countries,cast,business,vote details,rating,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,males,females,aged under 18,males under 18,females under 18,aged 18-29,males aged 18-29,females aged 18-29,aged 30-44,males aged 30-44,females aged 30-44,aged 45+,males aged 45+,females aged 45+,imdb staff,top 1000 voters,us users,non-us users,IMDb users,cast0,cast1,cast2,cast3
0,0,Wings,1,1928,"""Wings""","[""Drama"", ""Romance"", ""War"", ""Action""]",1927,"[""USA""]",,"{""copyright holder"": [""copyrighy MCMXXVII (on print); Paramount Famous Lasky Corporation; 5 January 1929; LP25985 (in copyright registry)""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""filming dates"": [""19 January 1927 - 5 April 1927""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""budget"": [""$2,000,000 (estimated)""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""production dates"": [""7 September 1926 - 7 April 1927""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""17 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.8,97,46,70,127,271,780,1680,2267,1091,1520,"(5482, 7.7)","(1199, 8.2)","(31, 7.9)","(22, 8.0)","(9, 7.2)","(1642, 7.6)","(1340, 7.6)","(291, 7.6)","(2589, 7.5)","(2201, 7.5)","(364, 7.6)","(2368, 8.3)","(1824, 8.1)","(517, 8.9)","(4, 8.2)","(340, 7.0)","(3578, 8.1)","(2678, 7.5)",,"(""Clara Bow"":""female"")","(""Charles 'Buddy' Rogers"":""male"")","(""Richard Arlen"":""male"")","(""Jobyna Ralston"":""female"")"
1,1,The Racket,0,1928,"""The Racket""","[""Crime"", ""Drama"", ""Film-Noir""]",1928,"[""USA""]",,"{""copyright holder"": [""Copyright MCMXXVIII by The Caddo Company, Inc. (on print); The Caddo Company, Inc.; 30 June1928; LP25429 (in copyright registry)""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""17 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,6.9,13,8,8,15,60,113,188,132,54,46,"(458, 6.8)","(70, 7.2)","(4, 4.5)","(4, 4.5)",,"(93, 7.0)","(73, 7.0)","(19, 7.2)","(198, 6.7)","(172, 6.7)","(25, 6.6)","(229, 7.0)","(202, 6.9)","(25, 7.7)",,"(115, 6.2)","(342, 7.0)","(171, 6.7)",,"(""Thomas Meighan"":""male"")","(""Louis Wolheim"":""male"")","(""Marie Prevost"":""female"")","(""G. Pat Collins"":""male"")"
2,2,7th Heaven,0,1928,"""7th Heaven""","[""Drama"", ""Romance""]",1927,"[""USA""]",,"{""rentals"": [""$1,800,000 (USA)""], ""copyright holder"": [""(C) 1927 Fox Film Corporation""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""filming dates"": [""24 January 1927 - 12 March 1927""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""17 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.8,36,15,18,31,84,160,384,608,353,359,"(1504, 7.8)","(249, 7.7)","(8, 7.0)","(5, 5.9)","(3, 9.0)","(411, 7.7)","(326, 7.7)","(82, 7.8)","(755, 7.8)","(656, 7.8)","(91, 7.7)","(576, 7.8)","(500, 7.8)","(70, 7.5)",,"(205, 7.2)","(689, 7.8)","(989, 7.8)",,"(""Janet Gaynor"":""female"")","(""Charles Farrell"":""male"")","(""Albert Gran"":""male"")","(""David Butler"":""male"")"
3,3,The Broadway Melody,1,1929,"""The Broadway Melody""","[""Musical"", ""Romance""]",1929,"[""USA""]",,"{""gross"": [""$2,808,000 (USA)"", ""$1,558,000 (Worldwide) (except USA)""], ""copyright holder"": [""Copyright MCMXXIX in U.S.A. by Metro-Goldwyn-Mayer (on print); \u00a9 Metro-Goldwyn-Mayer Distributing Corporation; 5 March 1929; LP183 (in copyright registry)""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""budget"": [""$379,000 (estimated)""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""17 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,6.3,89,114,195,334,655,1070,820,305,141,823,"(3046, 6.1)","(826, 7.5)","(15, 5.7)","(10, 5.2)","(5, 6.8)","(897, 5.6)","(722, 5.5)","(171, 6.2)","(1425, 5.8)","(1195, 5.8)","(220, 6.3)","(1504, 7.4)","(1073, 7.0)","(417, 8.7)","(1, 7.0)","(250, 5.7)","(2330, 6.8)","(1328, 5.8)",,"(""Charles King"":""male"")","(""Anita Page"":""female"")","(""Bessie Love"":""female"")","(""Twins The Angeles"":""female"")"
4,4,Alibi,0,1929,"""Alibi""","[""Crime""]",1929,"[""USA""]",,"{""copyright holder"": [""Feature Productions; 1 May 1929; LP394 (in copyright registry""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""17 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,6.0,5,12,18,40,81,115,80,53,21,22,"(312, 6.0)","(36, 5.9)",,,,"(38, 5.8)","(32, 5.8)","(6, 5.6)","(132, 5.8)","(119, 5.8)","(12, 5.4)","(179, 6.3)","(159, 6.2)","(18, 6.4)",,"(69, 6.2)","(262, 5.9)","(85, 6.3)",,"(""Chester Morris"":""male"")","(""Harry Stubbs"":""male"")","(""Mae Busch"":""female"")","(""Eleanor Griffith"":""female"")"
5,5,Hollywood Revue,0,1929,"""The Hollywood Revue of 1929""","[""Musical""]",1929,"[""USA""]",,"{""rentals"": [""$2,421,000 (Worldwide)""], ""copyright holder"": [""Metro-Goldwyn-Mayer Pictures; 23 September 1929; LP800 (in copyright registry""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""17 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.6,77,32,32,61,98,131,150,134,62,711,"(867, 7.4)","(450, 8.3)","(4, 7.0)","(2, 7.0)","(2, 7.0)","(99, 6.9)","(64, 6.8)","(35, 7.0)","(308, 6.8)","(237, 6.8)","(69, 6.6)","(907, 8.0)","(560, 7.6)","(342, 8.8)",,"(111, 5.8)","(1099, 8.0)","(211, 6.3)",,"(""Conrad Nagel"":""male"")","(""Jack Benny"":""male"")","(""John Gilbert"":""male"")","(""Norma Shearer"":""female"")"
6,6,In Old Arizona,0,1929,"""In Old Arizona""","[""Romance"", ""Western""]",1928,"[""USA""]",,"{""copyright holder"": [""\u00a91929 Fox Film Corporation""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""17 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,5.8,15,8,34,64,105,191,103,43,20,27,"(473, 5.8)","(42, 5.6)","(3, 4.0)","(2, 4.5)","(1, 3.0)","(85, 5.6)","(76, 5.6)","(9, 5.3)","(195, 5.7)","(176, 5.7)","(18, 5.7)","(229, 5.9)","(214, 5.9)","(14, 5.8)",,"(81, 5.9)","(319, 5.7)","(184, 5.8)",,"(""Warner Baxter"":""male"")","(""Edmund Lowe"":""male"")","(""Dorothy Burgess"":""female"")","(""Henry Armetta"":""male"")"
7,7,The Patriot,0,1929,"""The Patriot""","[""Drama""]",1928,"[""USA""]",,"{""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""filming dates"": [""February 1928 -  April 1928""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""budget"": [""$1,000,000 (estimated)""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""17 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(""Emil Jannings"":""male"")","(""Florence Vidor"":""female"")","(""Lewis Stone"":""male"")","(""Vera Voronina"":""female"")"
8,8,All Quiet on the Western Front,1,1930,"""All Quiet on the Western Front""","[""Drama"", ""War""]",1930,"[""USA""]",,"{""gross"": [""$3,270,000 (USA)""], ""rentals"": [""$1,500,000 (USA)""], ""copyright holder"": [""Copyright MCMXXX by Universal Pictures Corp. (on print); \u00a9 Universal Pictures Corporation; 17 May 1930; LP1323 (in copyright registry)""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""budget"": [""$1,448,864 (estimated)""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""production dates"": [""11 November 1929 -  March 1930""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""17 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,8.1,1194,306,390,587,1347,2947,7489,13466,9958,9265,"(34255, 8.1)","(4776, 7.7)","(104, 8.4)","(92, 8.5)","(12, 8.2)","(12810, 8.0)","(10953, 8.0)","(1787, 7.7)","(16965, 8.0)","(15100, 8.0)","(1719, 7.7)","(8713, 8.2)","(7458, 8.3)","(1149, 7.6)","(6, 8.3)","(580, 7.9)","(14918, 8.1)","(21035, 8.0)",,"(""Louis Wolheim"":""male"")","(""Lew Ayres"":""male"")","(""John Wray"":""male"")","(""Arnold Lucy"":""male"")"
9,9,The Big House,0,1930,"""The Big House""","[""Crime"", ""Drama"", ""Thriller""]",1930,"[""USA""]",,"{""copyright holder"": [""Copyright MCMXXX in U.S.A. by Metro-Goldwyn-Mayer (on print); \u00a9 Metro-Goldwyn-Mayer Distributing Corporation; 19 September 1931; LP3490 (in copyright registry)""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""17 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.2,6,5,12,25,68,180,388,332,112,89,"(821, 7.2)","(137, 7.3)","(2, 7.5)","(2, 7.5)",,"(115, 7.0)","(92, 7.1)","(23, 6.8)","(332, 7.2)","(281, 7.2)","(46, 7.3)","(499, 7.3)","(428, 7.3)","(65, 7.4)","(1, 7.0)","(157, 6.8)","(636, 7.2)","(299, 7.1)",,"(""Chester Morris"":""male"")","(""Wallace Beery"":""male"")","(""Lewis Stone"":""male"")","(""Robert Montgomery"":""male"")"
